,name,basetime,fctime,diag,obs,mb000
MSLP_MIN_P-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,mslp_min_p,97281.77536255152,-27.61591090487491
FF10M_MAX_S4-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,ff10m_max_s4,20.60706642275517,-0.6869652825447119
FF925_MAX_S4-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,ff925_max_s4,26.216440392721946,-2.100386729288843
FF300_MAX_S4-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,ff300_max_s4,20.726269617354866,7.557171166051258
Z500_P-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,z500_p,48655.83294741656,-252.57379761861375
TTE-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,tte,0.0,111.73545415311959
MSLP_MIN_P-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,mslp_min_p,97019.20576862663,-39.941768626638805
FF10M_MAX_S4-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,ff10m_max_s4,19.76356057010763,-2.556990562679754
FF925_MAX_S4-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,ff925_max_s4,24.35171537010191,-3.5541352824536787
FF300_MAX_S4-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,ff300_max_s4,19.60662985696555,6.6035317734003876
Z500_P-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,z500_p,48516.676092018904,-298.32255027353676
TTE-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,tte,0.0,204.36722133139207
MSLP_MIN_P-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,mslp_min_p,96859.6035124035,-35.1569425076741
FF10M_MAX_S4-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,ff10m_max_s4,20.329295673969906,-4.123974931045243
FF925_MAX_S4-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,ff925_max_s4,25.46211727055368,-5.409244937917698
FF300_MAX_S4-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,ff300_max_s4,17.401193760291427,-0.44593261907243686
Z500_P-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,z500_p,48724.5539523238,-572.7103185275482
TTE-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,tte,0.0,333.9617725295702
MSLP_MIN_P-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,mslp_min_p,96838.53933714287,174.008218412695
FF10M_MAX_S4-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,ff10m_max_s4,20.640998082771954,-5.176542805635091
